Group_ID,Street,City,State,ZIP_Code,Age,Members,Estimated Revenue
136,1300 Avenida Vista Hermosa,Mission Viejo,CA,92673,50,,"$335,952"
137,600 South Church Street,Hertford,CT,27944,83,,$0
144,70 East Main Street,Little Falls,NJ,7424,59,105,"$246,400"
151,20 East 46th Street,New York,,10017,63,350,"$1,070,850"
167,969 N Mason Rd Ste 145B,St. Louis,MO,63101,31,,
171,53 Nautilus Drive,Tuckerton,NJ,8050,74,105,"$224,700"
178,5215 Loughboro Rd NW Ste 440,Washington,DC,20016,65,537,$0
182,55 Fruit St,Boston,MA,2114,51,,
189,8833 Perimeter Park Blvd Ste 503,Jacksonville,FL,32216,42,,
213,2060 W Whispering Wind Dr Ste 173,Phoenix,AZ,85085,57,726,
237,3196 N Federal Hwy Ste A Boca Raton FL 33431,Boca Raton,,33431,77,,
241,145 E 32nd St Ste 303,New York,NY,10016,80,,
260,18840 Ventura Blvd Ste 207,Los Angeles,CA,91356,38,296,
262,11107 Sunset Hills Rd,Reston,VA,20190,52,,"$296,100"
